Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,094029,1902,01,67.7,Y
IDCJAC0001,094029,1902,02,76.5,Y
IDCJAC0001,094029,1902,03,26.6,Y
IDCJAC0001,094029,1902,04,39.3,Y
IDCJAC0001,094029,1902,05,17.9,Y
IDCJAC0001,094029,1902,06,56.7,Y
IDCJAC0001,094029,1902,07,13.2,Y
IDCJAC0001,094029,1902,08,21.8,Y
IDCJAC0001,094029,1902,09,94.8,Y
IDCJAC0001,094029,1902,10,26.5,Y
IDCJAC0001,094029,1902,11,37.8,Y
IDCJAC0001,094029,1902,12,77.5,Y
IDCJAC0001,094029,1903,01,20.4,Y
IDCJAC0001,094029,1903,02,69.0,Y
IDCJAC0001,094029,1903,03,46.3,Y
IDCJAC0001,094029,1903,04,52.4,Y
IDCJAC0001,094029,1903,05,67.1,Y
IDCJAC0001,094029,1903,06,97.7,Y
IDCJAC0001,094029,1903,07,85.8,Y
IDCJAC0001,094029,1903,08,20.6,Y
IDCJAC0001,094029,1903,09,39.1,Y
IDCJAC0001,094029,1903,10,58.7,Y
IDCJAC0001,094029,1903,11,63.4,Y
IDCJAC0001,094029,1903,12,37.5,Y
IDCJAC0001,094029,1904,01,50.4,Y
IDCJAC0001,094029,1904,02,93.6,Y
IDCJAC0001,094029,1904,03,86.2,Y
IDCJAC0001,094029,1904,04,1.8,Y
IDCJAC0001,094029,1904,05,47.7,Y
IDCJAC0001,094029,1904,06,72.2,Y
IDCJAC0001,094029,1904,07,30.7,Y
IDCJAC0001,094029,1904,08,60.4,Y
IDCJAC0001,094029,1904,09,37.7,Y
IDCJAC0001,094029,1904,10,17.8,Y
IDCJAC0001,094029,1904,11,61.8,Y
IDCJAC0001,094029,1904,12,8.8,Y
IDCJAC0001,094029,1905,01,140.3,Y
IDCJAC0001,094029,1905,02,77.3,Y
IDCJAC0001,094029,1905,03,32.3,Y
IDCJAC0001,094029,1905,04,69.2,Y
IDCJAC0001,094029,1905,05,161.8,Y
IDCJAC0001,094029,1905,06,23.6,Y
IDCJAC0001,094029,1905,07,69.9,Y
IDCJAC0001,094029,1905,08,13.1,Y
IDCJAC0001,094029,1905,09,69.0,Y
IDCJAC0001,094029,1905,10,95.4,Y
IDCJAC0001,094029,1905,11,22.5,Y
IDCJAC0001,094029,1905,12,41.9,Y
IDCJAC0001,094029,1906,01,12.2,Y
IDCJAC0001,094029,1906,02,16.9,Y
IDCJAC0001,094029,1906,03,36.6,Y
IDCJAC0001,094029,1906,04,51.5,Y
IDCJAC0001,094029,1906,05,28.7,Y
IDCJAC0001,094029,1906,06,41.4,Y
IDCJAC0001,094029,1906,07,71.2,Y
IDCJAC0001,094029,1906,08,37.5,Y
IDCJAC0001,094029,1906,09,28.2,Y
IDCJAC0001,094029,1906,10,173.0,Y
IDCJAC0001,094029,1906,11,65.4,Y
IDCJAC0001,094029,1906,12,32.4,Y
IDCJAC0001,094029,1907,01,68.4,Y
IDCJAC0001,094029,1907,02,51.0,Y
IDCJAC0001,094029,1907,03,36.3,Y
IDCJAC0001,094029,1907,04,25.8,Y
IDCJAC0001,094029,1907,05,32.2,Y
IDCJAC0001,094029,1907,06,18.9,Y
IDCJAC0001,094029,1907,07,46.9,Y
IDCJAC0001,094029,1907,08,34.3,Y
IDCJAC0001,094029,1907,09,96.2,Y
IDCJAC0001,094029,1907,10,90.7,Y
IDCJAC0001,094029,1907,11,27.9,Y
IDCJAC0001,094029,1907,12,131.8,Y
IDCJAC0001,094029,1908,01,25.2,Y
IDCJAC0001,094029,1908,02,14.2,Y
IDCJAC0001,094029,1908,03,44.4,Y
IDCJAC0001,094029,1908,04,22.3,Y
IDCJAC0001,094029,1908,05,16.5,Y
IDCJAC0001,094029,1908,06,58.4,Y
IDCJAC0001,094029,1908,07,29.1,Y
IDCJAC0001,094029,1908,08,18.5,Y
IDCJAC0001,094029,1908,09,51.5,Y
IDCJAC0001,094029,1908,10,102.7,Y
IDCJAC0001,094029,1908,11,26.7,Y
IDCJAC0001,094029,1908,12,11.3,Y
IDCJAC0001,094029,1909,01,62.0,Y
IDCJAC0001,094029,1909,02,30.6,Y
IDCJAC0001,094029,1909,03,40.6,Y
IDCJAC0001,094029,1909,04,165.1,Y
IDCJAC0001,094029,1909,05,49.8,Y
IDCJAC0001,094029,1909,06,112.0,Y
IDCJAC0001,094029,1909,07,31.2,Y
IDCJAC0001,094029,1909,08,54.5,Y
IDCJAC0001,094029,1909,09,25.7,Y
IDCJAC0001,094029,1909,10,32.8,Y
IDCJAC0001,094029,1909,11,42.7,Y
IDCJAC0001,094029,1909,12,47.4,Y
IDCJAC0001,094029,1910,01,59.5,Y
IDCJAC0001,094029,1910,02,9.5,Y
IDCJAC0001,094029,1910,03,22.5,Y
IDCJAC0001,094029,1910,04,51.0,Y
IDCJAC0001,094029,1910,05,40.9,Y
IDCJAC0001,094029,1910,06,91.0,Y
IDCJAC0001,094029,1910,07,52.0,Y
IDCJAC0001,094029,1910,08,42.8,Y
IDCJAC0001,094029,1910,09,102.4,Y
IDCJAC0001,094029,1910,10,57.5,Y
IDCJAC0001,094029,1910,11,40.2,Y
IDCJAC0001,094029,1910,12,74.1,Y
IDCJAC0001,094029,1911,01,11.2,Y
IDCJAC0001,094029,1911,02,57.9,Y
IDCJAC0001,094029,1911,03,137.7,Y
IDCJAC0001,094029,1911,04,63.7,Y
IDCJAC0001,094029,1911,05,104.2,Y
IDCJAC0001,094029,1911,06,48.2,Y
IDCJAC0001,094029,1911,07,25.4,Y
IDCJAC0001,094029,1911,08,33.2,Y
IDCJAC0001,094029,1911,09,30.8,Y
IDCJAC0001,094029,1911,10,62.3,Y
IDCJAC0001,094029,1911,11,31.3,Y
IDCJAC0001,094029,1911,12,77.6,Y
IDCJAC0001,094029,1912,01,28.4,Y
IDCJAC0001,094029,1912,02,7.4,Y
IDCJAC0001,094029,1912,03,56.8,Y
IDCJAC0001,094029,1912,04,40.8,Y
IDCJAC0001,094029,1912,05,28.4,Y
IDCJAC0001,094029,1912,06,71.9,Y
IDCJAC0001,094029,1912,07,38.9,Y
IDCJAC0001,094029,1912,08,32.1,Y
IDCJAC0001,094029,1912,09,97.4,Y
IDCJAC0001,094029,1912,10,84.3,Y
IDCJAC0001,094029,1912,11,51.6,Y
IDCJAC0001,094029,1912,12,52.8,Y
IDCJAC0001,094029,1913,01,35.2,Y
IDCJAC0001,094029,1913,02,8.0,Y
IDCJAC0001,094029,1913,03,48.5,Y
IDCJAC0001,094029,1913,04,54.6,Y
IDCJAC0001,094029,1913,05,3.9,Y
IDCJAC0001,094029,1913,06,32.1,Y
IDCJAC0001,094029,1913,07,38.3,Y
IDCJAC0001,094029,1913,08,36.8,Y
IDCJAC0001,094029,1913,09,48.9,Y
IDCJAC0001,094029,1913,10,49.4,Y
IDCJAC0001,094029,1913,11,93.2,Y
IDCJAC0001,094029,1913,12,44.7,Y
IDCJAC0001,094029,1914,01,6.4,Y
IDCJAC0001,094029,1914,02,3.0,Y
IDCJAC0001,094029,1914,03,31.9,Y
IDCJAC0001,094029,1914,04,77.7,Y
IDCJAC0001,094029,1914,05,24.8,Y
IDCJAC0001,094029,1914,06,8.6,Y
IDCJAC0001,094029,1914,07,65.9,Y
IDCJAC0001,094029,1914,08,29.7,Y
IDCJAC0001,094029,1914,09,25.6,Y
IDCJAC0001,094029,1914,10,10.0,Y
IDCJAC0001,094029,1914,11,42.4,Y
IDCJAC0001,094029,1914,12,68.4,Y
IDCJAC0001,094029,1915,01,4.6,Y
IDCJAC0001,094029,1915,02,55.7,Y
IDCJAC0001,094029,1915,03,61.8,Y
IDCJAC0001,094029,1915,04,61.1,Y
IDCJAC0001,094029,1915,05,60.1,Y
IDCJAC0001,094029,1915,06,40.2,Y
IDCJAC0001,094029,1915,07,16.3,Y
IDCJAC0001,094029,1915,08,34.1,Y
IDCJAC0001,094029,1915,09,32.5,Y
IDCJAC0001,094029,1915,10,97.3,Y
IDCJAC0001,094029,1915,11,64.9,Y
IDCJAC0001,094029,1915,12,5.4,Y
IDCJAC0001,094029,1916,01,132.6,Y
IDCJAC0001,094029,1916,02,51.7,Y
IDCJAC0001,094029,1916,03,10.0,Y
IDCJAC0001,094029,1916,04,111.3,Y
IDCJAC0001,094029,1916,05,31.4,Y
IDCJAC0001,094029,1916,06,65.4,Y
IDCJAC0001,094029,1916,07,115.4,Y
IDCJAC0001,094029,1916,08,74.7,Y
IDCJAC0001,094029,1916,09,73.3,Y
IDCJAC0001,094029,1916,10,62.5,Y
IDCJAC0001,094029,1916,11,179.6,Y
IDCJAC0001,094029,1916,12,196.3,Y
IDCJAC0001,094029,1917,01,42.8,Y
IDCJAC0001,094029,1917,02,52.8,Y
IDCJAC0001,094029,1917,03,52.4,Y
IDCJAC0001,094029,1917,04,106.2,Y
IDCJAC0001,094029,1917,05,58.8,Y
IDCJAC0001,094029,1917,06,85.7,Y
IDCJAC0001,094029,1917,07,69.9,Y
IDCJAC0001,094029,1917,08,58.7,Y
IDCJAC0001,094029,1917,09,95.8,Y
IDCJAC0001,094029,1917,10,70.7,Y
IDCJAC0001,094029,1917,11,63.7,Y
IDCJAC0001,094029,1917,12,22.8,Y
IDCJAC0001,094029,1918,01,25.3,Y
IDCJAC0001,094029,1918,02,45.8,Y
IDCJAC0001,094029,1918,03,35.3,Y
IDCJAC0001,094029,1918,04,51.0,Y
IDCJAC0001,094029,1918,05,61.5,Y
IDCJAC0001,094029,1918,06,50.7,Y
IDCJAC0001,094029,1918,07,81.9,Y
IDCJAC0001,094029,1918,08,90.0,Y
IDCJAC0001,094029,1918,09,66.2,Y
IDCJAC0001,094029,1918,10,79.8,Y
IDCJAC0001,094029,1918,11,31.3,Y
IDCJAC0001,094029,1918,12,46.1,Y
IDCJAC0001,094029,1919,01,52.2,Y
IDCJAC0001,094029,1919,02,38.4,Y
IDCJAC0001,094029,1919,03,149.1,Y
IDCJAC0001,094029,1919,04,28.1,Y
IDCJAC0001,094029,1919,05,19.8,Y
IDCJAC0001,094029,1919,06,83.7,Y
IDCJAC0001,094029,1919,07,56.6,Y
IDCJAC0001,094029,1919,08,30.8,Y
IDCJAC0001,094029,1919,09,30.4,Y
IDCJAC0001,094029,1919,10,46.6,Y
IDCJAC0001,094029,1919,11,8.9,Y
IDCJAC0001,094029,1919,12,29.9,Y
IDCJAC0001,094029,1920,01,25.6,Y
IDCJAC0001,094029,1920,02,6.5,Y
IDCJAC0001,094029,1920,03,45.5,Y
IDCJAC0001,094029,1920,04,26.9,Y
IDCJAC0001,094029,1920,05,55.3,Y
IDCJAC0001,094029,1920,06,61.6,Y
IDCJAC0001,094029,1920,07,20.1,Y
IDCJAC0001,094029,1920,08,29.1,Y
IDCJAC0001,094029,1920,09,45.9,Y
IDCJAC0001,094029,1920,10,22.6,Y
IDCJAC0001,094029,1920,11,43.2,Y
IDCJAC0001,094029,1920,12,78.7,Y
IDCJAC0001,094029,1921,01,55.4,Y
IDCJAC0001,094029,1921,02,27.6,Y
IDCJAC0001,094029,1921,03,19.6,Y
IDCJAC0001,094029,1921,04,36.5,Y
IDCJAC0001,094029,1921,05,31.5,Y
IDCJAC0001,094029,1921,06,39.9,Y
IDCJAC0001,094029,1921,07,113.8,Y
IDCJAC0001,094029,1921,08,64.5,Y
IDCJAC0001,094029,1921,09,24.3,Y
IDCJAC0001,094029,1921,10,24.0,Y
IDCJAC0001,094029,1921,11,8.6,Y
IDCJAC0001,094029,1921,12,14.9,Y
IDCJAC0001,094029,1922,01,66.6,Y
IDCJAC0001,094029,1922,02,64.9,Y
IDCJAC0001,094029,1922,03,16.8,Y
IDCJAC0001,094029,1922,04,51.3,Y
IDCJAC0001,094029,1922,05,16.1,Y
IDCJAC0001,094029,1922,06,47.5,Y
IDCJAC0001,094029,1922,07,153.4,Y
IDCJAC0001,094029,1922,08,52.7,Y
IDCJAC0001,094029,1922,09,18.4,Y
IDCJAC0001,094029,1922,10,79.7,Y
IDCJAC0001,094029,1922,11,21.3,Y
IDCJAC0001,094029,1922,12,133.5,Y
IDCJAC0001,094029,1923,01,56.8,Y
IDCJAC0001,094029,1923,02,18.6,Y
IDCJAC0001,094029,1923,03,81.4,Y
IDCJAC0001,094029,1923,04,3.6,Y
IDCJAC0001,094029,1923,05,115.7,Y
IDCJAC0001,094029,1923,06,89.6,Y
IDCJAC0001,094029,1923,07,34.7,Y
IDCJAC0001,094029,1923,08,41.1,Y
IDCJAC0001,094029,1923,09,78.7,Y
IDCJAC0001,094029,1923,10,91.1,Y
IDCJAC0001,094029,1923,11,173.5,Y
IDCJAC0001,094029,1923,12,55.1,Y
IDCJAC0001,094029,1924,01,138.3,Y
IDCJAC0001,094029,1924,02,86.3,Y
IDCJAC0001,094029,1924,03,66.7,Y
IDCJAC0001,094029,1924,04,63.5,Y
IDCJAC0001,094029,1924,05,20.3,Y
IDCJAC0001,094029,1924,06,70.9,Y
IDCJAC0001,094029,1924,07,23.1,Y
IDCJAC0001,094029,1924,08,46.7,Y
IDCJAC0001,094029,1924,09,43.3,Y
IDCJAC0001,094029,1924,10,67.6,Y
IDCJAC0001,094029,1924,11,82.6,Y
IDCJAC0001,094029,1924,12,24.1,Y
IDCJAC0001,094029,1925,01,51.5,Y
IDCJAC0001,094029,1925,02,33.9,Y
IDCJAC0001,094029,1925,03,58.2,Y
IDCJAC0001,094029,1925,04,49.7,Y
IDCJAC0001,094029,1925,05,87.3,Y
IDCJAC0001,094029,1925,06,62.0,Y
IDCJAC0001,094029,1925,07,78.2,Y
IDCJAC0001,094029,1925,08,41.1,Y
IDCJAC0001,094029,1925,09,16.1,Y
IDCJAC0001,094029,1925,10,42.5,Y
IDCJAC0001,094029,1925,11,18.6,Y
IDCJAC0001,094029,1925,12,39.8,Y
IDCJAC0001,094029,1926,01,38.5,Y
IDCJAC0001,094029,1926,02,36.2,Y
IDCJAC0001,094029,1926,03,19.8,Y
IDCJAC0001,094029,1926,04,50.3,Y
IDCJAC0001,094029,1926,05,66.9,Y
IDCJAC0001,094029,1926,06,115.1,Y
IDCJAC0001,094029,1926,07,41.7,Y
IDCJAC0001,094029,1926,08,48.3,Y
IDCJAC0001,094029,1926,09,47.7,Y
IDCJAC0001,094029,1926,10,136.8,Y
IDCJAC0001,094029,1926,11,22.7,Y
IDCJAC0001,094029,1926,12,33.8,Y
IDCJAC0001,094029,1927,01,28.4,Y
IDCJAC0001,094029,1927,02,75.9,Y
IDCJAC0001,094029,1927,03,36.9,Y
IDCJAC0001,094029,1927,04,13.4,Y
IDCJAC0001,094029,1927,05,72.9,Y
